CLAVE,DESCRIPCIÓN
CHUM-005,CHUMACERA DE PISO FK P205 UC 205-16
CHUM-006,"CHUMACERA DE PISO NBF 211-32 (2"")"
CHUM-007,CHUMACERA DE PISO DE 50 mm
CHUM-008,CHUMACERA COCOL FAG 30 mm UCFL206
CHUM-011,"CHUMACERA SKF SY 1. TF
( SKF YAR-205-100-2F Y SKF SY-505-M)"
CINC-001,CINCHILLO DE PLASTICO 100 X 2.5mm (100 PZS)
CINC-002,CINCHILLO DE PLASTICO 300 X 4.6mm
CINC-003,CINCEL 1 X 12 MARCA URREA MODELO 86A1X12
CINC-004,CINCHILLO DE PLASTICO 203 X 4.6 MM (50 PZS)
CINT-001,CINTA TEFLON 1/2 SURTEK 138052
CINT-002,CINTA TEFLON 3/4 SURTEK 138053
CINT-005,CINTA ADHESIVA
CINT-006,CINTA AISLANTE SURTEK 138000
CLAM-001,CLAMP ASC422 D30 6853214
CLAM-002,CLAMP ACP45 (6853757)
CLAM-015,CLAMP CK10 MM 1018331
CLAV-001,"CLAVIJA 110V 15A CON PIN DE TIERRA, DE HULE Y ENTRADA RECTA"
CLAV-002,"CLAVIJA 110V 15A CON PIN DE TIERRA, DE VINIL USO RUDO"
CLAV-004,CLAVIJA SENCILLA 15 A 250 V R500
CLIP-001,CLIP N1 INOXIDABLE 100 PIEZAS
CLIP-002,CLIP N2 INOXIDABLE 100 PIEZAS
CLIP-003,CLIP JUMBO INOXIDABLE 100 PIEZAS
CLIP-004,CLIP MARIPOSA BASICO #1
CLOR-001,CLORALEX DE 1 GALON
CLOR-002,CLORALEX DE 10 LITROS
CODO-001,"CODO CONDUIT PARED DELGADAD GALV. 2"""
COFI-001,COFIA PLISADA RD-CP08 DERMA CARE
CONE-001,"CONECTOR PARA CONDUIT EMT EN ACERO GALVANIZADO DE 2"""
CONO-001,CONO MORSE PARA BROCA CONICA CHICO
CONO-002,CONO MORSE PARA BROCA CONICA GRANDE
CONT-001,CONTACTO DUPLEX POLARIZADO 15A 125V
CONT-002,CONTACTO DUPLEX MARFIL DE SOBREPONER WD0198 ROYER
CONT-007,PAPEL CONTACT 45CM ANCHO
COPA-001,COPA 45 AMP. PMX 45 #220713
COPL-001,"COPLE PARA CONDUIT EMT EN ACERO GALVANIZADO DE 2"""
CORR-002,CINTA CORRECTORA AZUL
CORT-001,"CORTADORA PARA METAL 14"""
CORTM001,CORTADOR CIRCULAR 12mm. C/RECUB. TIALN
CORTM002,CORTADOR DE CARBURO 2mm 4FILOS PLANO CON RECUBRIMIENTO TIALN
CORTM003,CORTADOR VERTICAL DE CARBURO 4mm. 4 FILOS PLANO CON RECUB. TIALN
CORTM004,CORTADOR VERTICAL DE CARBURO 6mm. 4 FILOS PLANO CON RECUB. TIALN
CORTM005,CORTADOR 4F 8x8x60 CR 2.0 G859082
CORTM006 T,CORTADOR DE CARBURO 9mm. 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTM007,CORTADOR VERTICAL DE CARBURO 10mm. 4 FILOS PLANO C/RECUB. TIALN
CORTM008 F,CORTADOR VERTICAL DE CARBURO 12mm. 4 FILOS PLANO C/RECUB. TIALN
CORTM008 T,CORTADOR VERTICAL DE CARBURO 12mm. 4 FILOS PLANO C/RECUB. TIALN
CORTM009,CORTADOR VERTICAL DE CARBURO 11 MM 4 FILOS PLANO CON RECUB. TIALN
CORTM010,CORTADOR TORICO 6mm R1.5 4F (CO37710011)
CORTM011,CORTADOR TORICO 8mm R2 4F (CO37710016)
CORTM012,CORTADOR VERTICAL PLANO 8X8X19X63 6FR CLAVE G8D63080
CORTM013,CORTADOR ESFERICO 4MM 5170734 EBO 40A07-4 C06-IC900 CLAVE 05620569
CORTM014 F,CORTADOR VERTICAL DE CARBURO 2mm 4 FILOS ESFERICO CON RECUB. TIALN
CORTM014 T,CORTADOR VERTICAL DE CARBURO 2mm 4 FILOS ESFERICO CON RECUB. TIALN
CORTM015,CORTADOR VERTICAL DE CARBURO 5mm 4 FILOS PLANO CON RECUB. TIALN
CORTM016,CORTADOR DE CARBURO 5mm 4 FILOS ESFERICO CON RECUBRIMIENTO TIALN
CORTM017,CORTADOR VERTICAL DE CARBURO 6 mm 4 FILOS ESFERICO CON RECUB TIALN
CORTM018,CORTADOR TORICO DE CARBURO 10 mm 4 FILOS CON RECUBRIMIENTO TIALN
CORTM019,CORTADOR VERTICAL DE CARBURO 5mm 2 FILOS ESFERICO CON RECUBRIMIENTO TIALN
CORTM020,CORTADOR DE CARBURO 1mm 4 FILOS PLANO CON RECUBRIMIENTO TIALN
CORTM021,CORTADOR VERTICAL DE CARBURO DE 1.5mm 4 FILOS PLANO C/RECUB. TIALN
CORTM027,CORTADOR PLANO 6mm 203211 6 ANILLO ROJO
CORTM028,CORTADOR PLANO 8mm 203211 8 ANILLO ROJO
CORTM030,CORTADOR PLANO 10mm 203211 10 ANILLO ROJO
CORTM034,CORTADOR DE CARBURO 8mm R2 PLANO 75N508053LT MM2544450
CORTM036,CORTADOR PLANO 4mm 203211 4 ANILLO ROJO
CORTM301,CORTADOR TORICO DE CARBURO 6XR1.5
CORTM302 F,CORTADOR DE CARBURO 3MM 2 FILOS ESFERICO
CORTM303,CORTADOR VERTICAL DE CARBURO 4MM 2 FILOS ESFERICO
CORTM304,CORTADOR VERTICAL DE CERBURO 5MM 2 FILOS ESFERICO CON RECUBRIMIENTO TIALN
CORTM305,CORTADOR VERTICAL TORICO 4 X R1
